"case, nb_agents"
"(-11.0, -5.0)",2
"(10.0, -3.0)",1
"(-7.0, 6.0)",1
"(3.0, -3.0)",1
"(-7.0, 7.0)",1
"(7.0, -10.0)",1
"(10.0, -8.0)",1
"(-11.0, -12.0)",1
"(12.0, -6.0)",1
"(12.0, 13.0)",1
"(-3.0, 1.0)",1
"(-2.0, -6.0)",1
"(-9.0, -5.0)",1
"(0.0, -10.0)",1
"(-7.0, 4.0)",1
"(6.0, -6.0)",1
"(-7.0, -2.0)",1
"(6.0, 11.0)",1
"(-8.0, 11.0)",1
"(-12.0, 8.0)",1
"(-14.0, -13.0)",1
"(-2.0, -15.0)",1
"(-5.0, 6.0)",1
"(-1.0, 6.0)",1
"(7.0, -13.0)",1
"(13.0, 5.0)",1
"(-10.0, 5.0)",1
"(-6.0, 2.0)",1
"(11.0, -13.0)",1
"(-7.0, -12.0)",1
"(13.0, -7.0)",2
"(-9.0, -13.0)",1
"(-4.0, 7.0)",1
"(3.0, 14.0)",1
"(-1.0, 9.0)",1
"(8.0, 13.0)",1
"(4.0, 7.0)",1
"(3.0, 8.0)",1
"(11.0, 6.0)",1
"(-11.0, -4.0)",1
"(10.0, -17.0)",1
"(11.0, -15.0)",1
"(-16.0, -16.0)",1
"(-8.0, -17.0)",1
"(-9.0, -9.0)",1
"(5.0, -8.0)",1
"(12.0, 15.0)",1
"(-7.0, 8.0)",1
"(-11.0, 8.0)",1
"(-3.0, -9.0)",1
"(-16.0, 12.0)",1
"(-14.0, -9.0)",1
"(11.0, 11.0)",1
"(7.0, 14.0)",1
"(-15.0, -9.0)",1
"(-12.0, 0.0)",1
"(0.0, 7.0)",1
"(-10.0, -17.0)",1
